類別,子類別,事件名稱,開始日期,結束日期,備註,Link1,Link2
股利宣告,美股,Taiwan Semiconductor Manufacturing Company Limited(TSM) 宣告股利 3.79,2026-09-16,2026-09-16,Taiwan Semiconductor Manufacturing Company Limited (TSM) 宣告股利分派，每股預計發放 3.79 股利 (除息日 2026-09-16),https://finance.yahoo.com/quote/TSM/,
股利宣告,美股,HP Inc.(HPQ) 宣告股利 1.2,2026-09-09,2026-09-09,HP Inc. (HPQ) 宣告股利分派，每股預計發放 1.2 股利 (除息日 2026-09-09),https://finance.yahoo.com/quote/HPQ/,
股利宣告,美股,Qualcomm Inc.(QCOM) 宣告股利 3.68,2026-09-03,2026-09-03,Qualcomm Inc. (QCOM) 宣告股利分派，每股預計發放 3.68 股利 (除息日 2026-09-03),https://finance.yahoo.com/quote/QCOM/,
股利宣告,美股,Microsoft Corporation(MSFT) 宣告股利 3.64,2026-08-20,2026-08-20,Microsoft Corporation (MSFT) 宣告股利分派，每股預計發放 3.64 股利 (除息日 2026-08-20),https://finance.yahoo.com/quote/MSFT/,
股利宣告,美股,Lenovo Group ADR(LNVGY) 宣告股利 1.08,2026-08-06,2026-08-06,Lenovo Group ADR (LNVGY) 宣告股利分派，每股預計發放 1.08 股利 (除息日 2026-08-06),https://finance.yahoo.com/quote/LNVGY/,
股利宣告,美股,ASML Holding N.V.(ASML) 宣告股利 9.09,2026-07-28,2026-07-28,ASML Holding N.V. (ASML) 宣告股利分派，每股預計發放 9.09 股利 (除息日 2026-07-28),https://finance.yahoo.com/quote/ASML/,
股利宣告,美股,Dell Technologies(DELL) 宣告股利 2.52,2026-07-21,2026-07-21,Dell Technologies (DELL) 宣告股利分派，每股預計發放 2.52 股利 (除息日 2026-07-21),https://finance.yahoo.com/quote/DELL/,
股利宣告,台股,台達電(2308) 尚未公告股息,2026-07-20,2026-07-20,該公司於 115 年尚未有董事會決議發放股利之最新重大訊息,https://mops.twse.com.tw/mops/web/t05st01?step=1&co_id=2308&year=115&month=all&TYPEK=all,
股利宣告,台股,鴻海(2317) 尚未公告股息,2026-07-20,2026-07-20,該公司於 115 年尚未有董事會決議發放股利之最新重大訊息,https://mops.twse.com.tw/mops/web/t05st01?step=1&co_id=2317&year=115&month=all&TYPEK=all,
股利宣告,台股,仁寶(2324) 尚未公告股息,2026-07-20,2026-07-20,該公司於 115 年尚未有董事會決議發放股利之最新重大訊息,https://mops.twse.com.tw/mops/web/t05st01?step=1&co_id=2324&year=115&month=all&TYPEK=all,
股利宣告,台股,聯強(2347) 尚未公告股息,2026-07-20,2026-07-20,該公司於 115 年尚未有董事會決議發放股利之最新重大訊息,https://mops.twse.com.tw/mops/web/t05st01?step=1&co_id=2347&year=115&month=all&TYPEK=all,
